m2,pokoje,rok,cena
71,4,2021,1072650
40,2,2013,636000
67,3,2012,870000
59,3,1990,870000
53,3,2023,1037400
26,1,2017,660000
51,3,2020,880000
69,3,2017,1499000
39,2,2024,462914
35,2,2022,530000
60,2,2017,795000
41,2,2023,699000
61,2,2005,1019000
51,2,2010,719000
50,2,2013,725000
34,2,2023,629000
42,2,2014,719000
46,2,2005,599000
44,2,2015,589000
67,3,2007,870000
70,3,2010,950000
46,2,2005,610000
70,3,2010,950000
42,2,2014,720000
104,5,2022,1310000
55,3,2022,1105843
131,4,2000,1300000
39,2,2015,585000
42,2,2000,545000
50,2,1991,757000
52,2,2005,936000
42,2,2022,798000
50,2,2018,750000
40,2,2013,635000
54,3,2016,849000
41,2,2015,935000
41,2,2014,720000
75,4,1993,920000
123,6,2021,2600000
40,2,2013,635000
42,2,2000,545000
33,2,2008,399000
51,2,2021,929000
43,3,2022,813834
32,2,2022,686983
62,3,2023,1118750
130,4,2017,2145000
64,3,2009,765000
67,3,1995,789000
50,2,2014,679900
83,3,1999,1050000
42,2,2014,720000
34,1,2022,799000
38,2,2017,570000
71,4,2021,1072650
37,2,2019,670000
115,6,2003,1550000
49,2,2000,630000
37,2,2019,670000
46,2,2003,747000
25,1,2017,660000
25,1,2017,660000
32,1,2015,470000
34,2,2020,666824
67,3,2017,1550000
75,3,2016,1200000
77,4,2008,899000
66,3,2019,950000
42,2,2022,670000
76,3,2003,987000
55,3,1992,750000
50,2,2013,980000
68,3,2010,1120000
34,2,2021,770000
58,3,2018,860000
79,3,2005,830000
55,2,2002,737000
69,3,2016,919000
62,3,2009,890000
74,4,2022,946281
43,2,2023,949000
31,2,2022,645000
36,2,2006,559000
104,4,2022,1310000
53,3,2023,635000
40,2,2000,625000
44,2,2020,840000
125,4,1998,1300000
69,3,2000,900000
92,4,2014,1350000
64,3,1992,810000
40,2,2003,540000
48,2,2001,649000
38,2,2022,985000
68,4,2020,760000
74,3,2010,990000
98,5,2014,1280000
86,4,1990,975000
48,2,2015,899999
36,2,2018,860000
50,2,2017,699000
73,4,1990,940000
38,2,2015,696000
61,3,1993,780000
83,3,2015,1084000
53,2,2002,729000
86,4,1990,1075000
51,3,2020,856000
51,2,2016,664000
57,3,2009,798000
49,2,2008,720000
80,3,2012,1150000
52,2,1992,1000000
39,2,2022,670000
99,3,2008,1385000
71,3,2017,1343000
49,2,2003,790000
60,3,2014,899999
58,2,2008,669000
67,3,1999,1090000
98,4,2016,1199000
69,3,2016,919000
36,2,2001,635000
46,2,2022,1100000
70,3,2020,865000
48,2,1999,690000
66,3,1995,799000
62,3,2023,1299000
32,2,2022,535000
69,3,2022,922944
62,3,1993,675000
78,3,2009,1060000
48,2,1999,660000
99,3,2008,1385000
63,4,2012,950000
89,4,1992,899999
53,3,2023,980500
48,2,2015,889000
42,2,1990,617000
64,3,2022,1130000
99,3,2008,1385000
64,3,2023,1130000
90,4,1993,1200000
90,4,1993,1200000
35,2,2007,778000
39,2,2022,600000
78,4,2021,997000
59,3,2008,820000
53,3,2023,660000
56,3,2014,800000
77,3,2002,870000
57,3,2003,645000
47,2,2023,830000
78,3,2010,1258000
36,2,2001,620000
51,2,2010,880000
54,2,2010,799000
62,3,2023,1118750
41,2,2023,599000
128,6,2005,1530000
46,2,2004,540000
67,3,2006,870000
57,2,2014,845000
98,4,2020,1959000
51,2,2012,750000
141,6,1991,1550000
60,2,1990,750000
61,3,2009,1050000
50,2,2012,670000
42,2,2015,719628
32,2,2018,500000
73,3,2023,1119000
68,3,2005,850000
46,2,2001,620000
55,3,2020,820000
46,2,2008,650000
27,1,2022,729000
99,4,2017,1370000
61,3,2016,930000
101,4,2024,2497775
56,2,2019,929000
43,2,2023,694000
66,3,2011,945000
138,5,1995,1370000
78,3,2008,1060000
61,3,2002,695000
74,4,2010,765000
49,2,2022,769000
128,6,2005,1520000
122,5,2000,1228000
55,3,2023,990944
59,3,2005,820000
68,3,2013,885000
102,3,1999,1430000
128,6,2005,1520000
120,4,1999,1300000
33,2,2021,767050
32,2,2022,686938
32,2,2022,686983
57,3,2022,920769
50,3,2022,1116449
49,2,2020,1104700
52,2,2011,799000
66,3,2006,990000
52,2,2008,837000
71,3,2023,1128900
45,3,2022,760500
111,5,1998,1299200
46,2,2015,900000
89,4,2000,1249000
48,3,2023,720000
78,4,2021,982000
65,3,2003,690000
104,4,2022,1298400
51,2,2018,750000
104,4,2022,1298000
55,3,2022,1106838
75,4,2022,1646480
63,3,2020,1100700
84,3,2000,900000
114,4,2010,1799000
89,4,2000,1248000
58,3,2022,924744
49,2,2019,1105150
45,2,2022,660000
58,4,2008,750000
59,2,2016,1090000
77,3,2007,1250000
100,4,2000,1199500
50,2,2021,1150000
48,2,2019,964000
70,3,2024,1098020
141,6,1991,1600000
132,5,2007,1950000
62,3,1993,780000
57,3,2022,1120000
133,5,2010,1599000
123,6,2020,2600000
123,6,2021,2650000
58,3,2022,924744
54,2,2015,1000000
63,3,2009,750000
71,3,1998,799000
57,2,1992,620000
89,4,2001,1250000
26,1,2020,450000
90,3,2000,1251000
63,3,2022,1543745
49,2,2020,1104701
55,3,2022,1105843
56,3,2020,894375
67,2,2020,1070000
73,3,2004,1136100
70,4,2000,850000
81,3,2002,850000
